Subregion,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Micronesia,Micronesia,4,,,,,4.6,,,,,4.5,,,,,4.7,
Micronesia,Nauru,,,,,,,,,,,,, -   ,,,,
Micronesia,Palau,,,,,,,,,,,,,3.1,,,,
Polynesia,American Samoa,,1.7,11.9,5.1,6.7,10.1,6.8,1.7,5.3,3.6,9,9,3.6,5.4,5.4,7.2,5.4
Polynesia,Cook Islands,,,,,,,,,,,,,3.5,,,,
Polynesia,French Polynesia,,,,,,,1.2,2.7,3.4,0.4,,,,,,,
Polynesia,Niue,,,,,,,,,,,,, -   ,,,,
Polynesia,Samoa,,,,,,,,,,8.7,8.6,,,3.1,,,
Polynesia,Tonga,1,6.1,6,6,2,4,7.9,1,3.9,7.7,1,1.9,1,,,,
Polynesia,Tuvalu,,, -   , -   , -   , -   , -   , -   , -   , -   ,9.5,9.4,18.6,,,,
